id,name,description,price,quantity,category,category_name,category_description,supplier
1,Compact Portable Charger,Compact Portable Charger with fast-charging features,133,50,2,Laptops,Portable computers,Supplier B
2,Portable Portable Charger,Portable Portable Charger with fast-charging features,125,57,2,Laptops,Portable computers,Supplier A
3,Premium Headphones,Premium Headphones with high-quality features,139,33,2,Laptops,Portable computers,Supplier D
4,Ultra HD Wireless Mouse,Ultra HD Wireless Mouse with compact features,137,37,1,Smartphones,Devices to make calls and run apps,Supplier C
5,Fast-charging Webcam,Fast-charging Webcam with compact features,104,72,2,Laptops,Portable computers,Supplier B
6,Premium Screen Protector,Premium Screen Protector with compact features,116,70,2,Laptops,Portable computers,Supplier C
7,Compact Keyboard,Compact Keyboard with ergonomic features,53,18,2,Laptops,Portable computers,Supplier B
8,Portable Phone Case,Portable Phone Case with fast-charging features,76,60,1,Smartphones,Devices to make calls and run apps,Supplier E
9,Ergonomic Phone Case,Ergonomic Phone Case with compact features,131,89,1,Smartphones,Devices to make calls and run apps,Supplier D
10,Noise-canceling Wireless Mouse,Noise-canceling Wireless Mouse with durable features,101,83,3,Tablets,Touch screen devices,Supplier A
11,Fast-charging Headphones,Fast-charging Headphones with stylish features,103,22,5,Audio,"Headphones, earphones, and speakers",Supplier C
12,Premium Phone Case,Premium Phone Case with fast-charging features,117,12,2,Laptops,Portable computers,Supplier B
13,Fast-charging Wireless Mouse,Fast-charging Wireless Mouse with ergonomic features,73,87,2,Laptops,Portable computers,Supplier D
14,Durable Wireless Mouse,Durable Wireless Mouse with stylish features,33,65,1,Smartphones,Devices to make calls and run apps,Supplier B
15,Stylish Phone Case,Stylish Phone Case with portable features,45,73,3,Tablets,Touch screen devices,Supplier D
16,High-quality Phone Case,High-quality Phone Case with fast-charging features,106,95,4,Wearables,Smart watches and fitness trackers,Supplier D
17,Premium Wireless Mouse,Premium Wireless Mouse with fast-charging features,78,88,1,Smartphones,Devices to make calls and run apps,Supplier A
18,Fast-charging Bluetooth Speaker,Fast-charging Bluetooth Speaker with ergonomic features,61,30,5,Audio,"Headphones, earphones, and speakers",Supplier C
19,Stylish USB Cable,Stylish USB Cable with ergonomic features,64,8,5,Audio,"Headphones, earphones, and speakers",Supplier A
20,Portable Charging Adapter,Portable Charging Adapter with fast-charging features,65,82,4,Wearables,Smart watches and fitness trackers,Supplier D
21,Fast-charging Phone Case,Fast-charging Phone Case with durable features,6,37,3,Tablets,Touch screen devices,Supplier C
22,Noise-canceling Portable Charger,Noise-canceling Portable Charger with portable features,142,16,3,Tablets,Touch screen devices,Supplier E
23,Fast-charging Keyboard,Fast-charging Keyboard with premium features,25,4,2,Laptops,Portable computers,Supplier E
24,Compact Headphones,Compact Headphones with high-quality features,89,56,3,Tablets,Touch screen devices,Supplier C
25,Ultra HD Portable Charger,Ultra HD Portable Charger with high-quality features,128,27,5,Audio,"Headphones, earphones, and speakers",Supplier C
26,Fast-charging USB Cable,Fast-charging USB Cable with noise-canceling features,61,29,4,Wearables,Smart watches and fitness trackers,Supplier B
27,High-quality Webcam,High-quality Webcam with premium features,145,16,2,Laptops,Portable computers,Supplier E
28,Compact Screen Protector,Compact Screen Protector with premium features,56,3,5,Audio,"Headphones, earphones, and speakers",Supplier B
29,Durable USB Cable,Durable USB Cable with durable features,95,23,4,Wearables,Smart watches and fitness trackers,Supplier E
30,Fast-charging Charging Adapter,Fast-charging Charging Adapter with durable features,117,74,5,Audio,"Headphones, earphones, and speakers",Supplier E
31,Portable USB Cable,Portable USB Cable with premium features,16,88,3,Tablets,Touch screen devices,Supplier C
32,Noise-canceling Phone Case,Noise-canceling Phone Case with noise-canceling features,133,88,3,Tablets,Touch screen devices,Supplier B
33,Ultra HD Bluetooth Speaker,Ultra HD Bluetooth Speaker with ergonomic features,106,42,2,Laptops,Portable computers,Supplier A
34,Durable Portable Charger,Durable Portable Charger with portable features,27,12,4,Wearables,Smart watches and fitness trackers,Supplier B
35,Compact Bluetooth Speaker,Compact Bluetooth Speaker with portable features,105,66,4,Wearables,Smart watches and fitness trackers,Supplier E
36,Ultra HD Phone Case,Ultra HD Phone Case with compact features,105,69,3,Tablets,Touch screen devices,Supplier D
37,Stylish Bluetooth Speaker,Stylish Bluetooth Speaker with ultra hd features,93,39,4,Wearables,Smart watches and fitness trackers,Supplier A
38,Noise-canceling Charging Adapter,Noise-canceling Charging Adapter with premium features,138,72,4,Wearables,Smart watches and fitness trackers,Supplier E
39,Noise-canceling Bluetooth Speaker,Noise-canceling Bluetooth Speaker with noise-canceling features,107,52,2,Laptops,Portable computers,Supplier D
40,Premium Webcam,Premium Webcam with fast-charging features,140,30,4,Wearables,Smart watches and fitness trackers,Supplier B
41,Ergonomic Screen Protector,Ergonomic Screen Protector with compact features,86,56,4,Wearables,Smart watches and fitness trackers,Supplier C
42,Ergonomic Portable Charger,Ergonomic Portable Charger with compact features,83,66,5,Audio,"Headphones, earphones, and speakers",Supplier D
